"filename", "language", "JSON", "Batch", "JavaScript", "Log", "comment", "blank", "total"
"d:\bokeh utils code\commands\utility\portfolio.js", "JavaScript", 0, 0, 322, 0, 0, 45, 367
"d:\bokeh utils code\commands\utility\remind.js", "JavaScript", 0, 0, 31, 0, 0, 5, 36
"d:\bokeh utils code\commands\utility\ris.js", "JavaScript", 0, 0, 10, 0, 0, 2, 12
"d:\bokeh utils code\commands\utility\room.js", "JavaScript", 0, 0, 180, 0, 3, 26, 209
"d:\bokeh utils code\commands\utility\serversuggest.js", "JavaScript", 0, 0, 29, 0, 0, 3, 32
"d:\bokeh utils code\commands\utility\snipe.js", "JavaScript", 0, 0, 21, 0, 0, 1, 22
"d:\bokeh utils code\commands\utility\suggest.js", "JavaScript", 0, 0, 41, 0, 0, 3, 44
"d:\bokeh utils code\commands\utility\textart.js", "JavaScript", 0, 0, 18, 0, 0, 0, 18
"d:\bokeh utils code\commands\utility\types.js", "JavaScript", 0, 0, 62, 0, 0, 1, 63
"d:\bokeh utils code\commands\utility\userinfo.js", "JavaScript", 0, 0, 30, 0, 0, 1, 31
"d:\bokeh utils code\commands\utility\wiki.js", "JavaScript", 0, 0, 25, 0, 0, 5, 30
"d:\bokeh utils code\commands\utility\youtube.js", "JavaScript", 0, 0, 18, 0, 0, 1, 19
"d:\bokeh utils code\counters\member-counter.js", "JavaScript", 0, 0, 11, 0, 0, 0, 11
"d:\bokeh utils code\counters\rndmmsg.js", "JavaScript", 0, 0, 10, 0, 0, 2, 12
"d:\bokeh utils code\database\ticket.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"d:\bokeh utils code\database\xpmultiplier.json", "JSON", 0, 0, 0, 0, 0, 1, 1
"d:\bokeh utils code\events\client\interactionCreate.js", "JavaScript", 0, 0, 16, 0, 0, 0, 16
"d:\bokeh utils code\events\client\messageDelete.js", "JavaScript", 0, 0, 16, 0, 0, 0, 16
"d:\bokeh utils code\events\client\messageReactionAdd.js", "JavaScript", 0, 0, 53, 0, 0, 6, 59
"d:\bokeh utils code\events\client\ready.js", "JavaScript", 0, 0, 103, 0, 0, 9, 112
"d:\bokeh utils code\events\guild\guildMemberAdd.js", "JavaScript", 0, 0, 84, 0, 5, 10, 99
"d:\bokeh utils code\events\guild\guildMemberRemove.js", "JavaScript", 0, 0, 13, 0, 1, 2, 16
"d:\bokeh utils code\events\guild\messageCreate.js", "JavaScript", 0, 0, 56, 0, 0, 10, 66
"d:\bokeh utils code\functions\afk.js", "JavaScript", 0, 0, 47, 0, 0, 7, 54
"d:\bokeh utils code\functions\auditLog.js", "JavaScript", 0, 0, 13, 0, 0, 2, 15
"d:\bokeh utils code\functions\bump.js", "JavaScript", 0, 0, 14, 0, 0, 0, 14
"d:\bokeh utils code\functions\bumpcheck.js", "JavaScript", 0, 0, 25, 0, 0, 1, 26
"d:\bokeh utils code\functions\bumpreminder.js", "JavaScript", 0, 0, 29, 0, 0, 3, 32
"d:\bokeh utils code\functions\cardpreview.js", "JavaScript", 0, 0, 42, 0, 0, 1, 43
"d:\bokeh utils code\functions\chatbot.js", "JavaScript", 0, 0, 12, 0, 0, 0, 12
"d:\bokeh utils code\functions\faq.js", "JavaScript", 0, 0, 25, 0, 0, 1, 26
"d:\bokeh utils code\functions\forhumans.js", "JavaScript", 0, 0, 24, 0, 0, 1, 25
"d:\bokeh utils code\functions\inlineReply.js", "JavaScript", 0, 0, 26, 0, 0, 6, 32
"d:\bokeh utils code\functions\introCommands.js", "JavaScript", 0, 0, 31, 0, 0, 5, 36
"d:\bokeh utils code\functions\jsonReader.js", "JavaScript", 0, 0, 16, 0, 0, 0, 16
"d:\bokeh utils code\functions\levelup.js", "JavaScript", 0, 0, 57, 0, 0, 5, 62
"d:\bokeh utils code\functions\set.js", "JavaScript", 0, 0, 9, 0, 0, 0, 9
"d:\bokeh utils code\functions\similarcmd.js", "JavaScript", 0, 0, 20, 0, 0, 0, 20
